,country,points,price,province,taster_name,variety,winery
118281,US,89,24.0,Oregon,Paul Gregutt,Pinot Gris,King Estate
118742,US,88,14.0,Oregon,Paul Gregutt,Pinot Gris,Rainstorm
118982,US,86,18.0,California,Virginie Boone,Pinot Gris,Fenestra
119328,US,88,23.0,Oregon,Paul Gregutt,Pinot Gris,Maysara
119495,US,86,11.0,Washington,Sean P. Sullivan,Pinot Gris,Waterbrook
119674,US,92,18.0,Oregon,Paul Gregutt,Pinot Gris,Iris Vineyards
119773,US,87,16.0,New York,Anna Lee C. Iijima,Pinot Gris,Hosmer
119789,US,90,25.0,Oregon,Paul Gregutt,Pinot Gris,Aubichon Cellars
119842,US,88,10.0,Washington,Sean P. Sullivan,Pinot Gris,Chateau Ste. Michelle
119898,US,88,13.0,Oregon,Paul Gregutt,Pinot Gris,Firesteed
120073,US,89,16.0,California,Jim Gordon,Pinot Gris,McFadden
120468,US,86,17.0,Oregon,Paul Gregutt,Pinot Gris,Hanson Vineyards
120700,US,89,18.0,Oregon,Paul Gregutt,Pinot Gris,Lumos
120704,US,87,16.0,Washington,Paul Gregutt,Pinot Gris,Boomtown
120720,US,87,24.0,New York,Anna Lee C. Iijima,Pinot Gris,Red Newt Cellars
120829,US,88,19.0,Oregon,Paul Gregutt,Pinot Gris,Grizzly Peak
121460,US,89,25.0,California,Jim Gordon,Pinot Gris,FEL
121645,US,87,16.0,Washington,Paul Gregutt,Pinot Gris,Castillo De Feliciana
121968,US,90,15.0,Oregon,Paul Gregutt,Pinot Gris,Walnut City WineWorks
122051,US,90,18.0,Oregon,Paul Gregutt,Pinot Gris,Durant
122082,US,92,16.0,Oregon,Paul Gregutt,Pinot Gris,Deer Creek
122100,US,92,24.0,Oregon,Paul Gregutt,Pinot Gris,King Estate
122184,US,88,14.0,Washington,Sean P. Sullivan,Pinot Gris,Gård
122310,US,89,14.0,Washington,Paul Gregutt,Pinot Gris,Alexandria Nicole
122330,US,91,22.0,California,Virginie Boone,Pinot Gris,J Vineyards & Winery
122342,US,91,25.0,Oregon,Paul Gregutt,Pinot Gris,Aubichon Cellars
122371,US,86,20.0,Oregon,Paul Gregutt,Pinot Gris,Vista Hills
122582,US,89,17.0,Oregon,Paul Gregutt,Pinot Gris,Conveyance
122711,US,91,18.0,California,Matt Kettmann,Pinot Gris,Holman Ranch
122848,US,89,20.0,Oregon,Paul Gregutt,Pinot Gris,Raptor Ridge
123885,US,91,29.0,Oregon,Paul Gregutt,Pinot Gris,King Estate
124092,US,83,11.0,Washington,Paul Gregutt,Pinot Gris,Apex II
124095,US,83,15.0,Washington,Paul Gregutt,Pinot Gris,Silver Lake
124142,US,90,17.0,Oregon,Paul Gregutt,Pinot Gris,Carabella
124244,US,88,14.0,Washington,Paul Gregutt,Pinot Gris,Lost River
124377,US,88,13.0,Oregon,Sean P. Sullivan,Pinot Gris,Primarius
124489,US,90,20.0,Oregon,Paul Gregutt,Pinot Gris,Joleté
124641,US,90,30.0,California,Virginie Boone,Pinot Gris,Keller Estate
124711,US,90,20.0,Oregon,Paul Gregutt,Pinot Gris,Lumos
124743,US,84,17.0,California,Jim Gordon,Pinot Gris,J Vineyards & Winery
124819,US,88,15.0,Idaho,Paul Gregutt,Pinot Gris,3 Horse Ranch Vineyards
125057,US,86,19.0,Washington,Paul Gregutt,Pinot Gris,Convergence Zone
125533,US,88,19.0,California,Matt Kettmann,Pinot Gris,Sinor-LaVallee
125772,US,80,18.0,Oregon,Michael Schachner,Pinot Gris,Paschal
126171,US,88,13.0,Washington,Sean P. Sullivan,Pinot Gris,Jones of Washington
126334,US,87,18.0,Idaho,Sean P. Sullivan,Pinot Gris,3 Horse Ranch Vineyards
126491,US,86,12.0,Oregon,Paul Gregutt,Pinot Gris,Abiqua Wind
126522,US,92,18.0,Oregon,Paul Gregutt,Pinot Gris,Arbor Brook
127013,US,93,54.0,Oregon,Paul Gregutt,Pinot Gris,Archery Summit
127239,US,87,14.0,Washington,Sean P. Sullivan,Pinot Gris,Willow Crest
127333,US,88,20.0,California,Virginie Boone,Pinot Gris,MacMurray Estate Vineyards
127632,US,90,19.0,Oregon,Paul Gregutt,Pinot Gris,Coeur de Terre
127700,US,89,16.0,Oregon,Paul Gregutt,Pinot Gris,Sweet Cheeks
127729,US,88,13.0,California,Virginie Boone,Pinot Gris,Cline
127801,US,85,12.0,Oregon,Paul Gregutt,Pinot Gris,Girardet
128667,US,90,15.0,California,Jim Gordon,Pinot Gris,Boeger
128756,US,90,25.0,California,Jim Gordon,Pinot Gris,Lichen Estate
128793,US,91,29.0,Oregon,Paul Gregutt,Pinot Gris,King Estate
128858,US,86,16.0,Oregon,Paul Gregutt,Pinot Gris,Melrose
128869,US,86,13.0,Oregon,Paul Gregutt,Pinot Gris,Kings Ridge
129029,US,88,20.0,California,Jim Gordon,Pinot Gris,Navarro
129059,US,93,21.0,Oregon,Paul Gregutt,Pinot Gris,WillaKenzie Estate
129304,US,90,15.0,Oregon,Paul Gregutt,Pinot Gris,A to Z
129440,US,87,18.0,California,Jim Gordon,Pinot Gris,J Vineyards & Winery
129477,US,88,14.0,Washington-Oregon,Paul Gregutt,Pinot Gris,ENSO
129483,US,88,23.0,Oregon,Paul Gregutt,Pinot Gris,Bell
129713,US,86,11.0,Washington,Sean P. Sullivan,Pinot Gris,Waterbrook
129783,US,89,13.0,Washington,Paul Gregutt,Pinot Gris,Lone Birch
129788,US,89,15.0,New York,Anna Lee C. Iijima,Pinot Gris,Dr. Konstantin Frank
129909,US,91,20.0,California,Matt Kettmann,Pinot Gris,Derby
